Language,Audio Path,WER,BLEU,BERTScore,Processing Time (s)
en_us,C:\Users\prakh\AppData\Local\Temp\tmpmx0denfk.wav,0.3,0.415,0.948,4.67
en_us,C:\Users\prakh\AppData\Local\Temp\tmpx71ji3dd.wav,0.2,0.421,0.956,1.4
en_us,C:\Users\prakh\AppData\Local\Temp\tmpqdoe8trm.wav,0.2,0.491,0.96,1.01
en_us,C:\Users\prakh\AppData\Local\Temp\tmp_r8k7b4g.wav,0.091,0.551,0.981,1.47
en_us,C:\Users\prakh\AppData\Local\Temp\tmpve5bq4ht.wav,0.167,0.705,0.992,1.31
en_us,C:\Users\prakh\AppData\Local\Temp\tmp__oas8c9.wav,0.158,1.0,1.0,1.18
en_us,C:\Users\prakh\AppData\Local\Temp\tmpwifstctr.wav,0.091,1.0,1.0,1.31
en_us,C:\Users\prakh\AppData\Local\Temp\tmp05kgf6ik.wav,0.167,0.705,0.986,1.51
en_us,C:\Users\prakh\AppData\Local\Temp\tmpdmtqqkrq.wav,0.071,1.0,1.0,1.22
en_us,C:\Users\prakh\AppData\Local\Temp\tmpsw5nia62.wav,0.105,1.0,1.0,1.46
en_us,C:\Users\prakh\AppData\Local\Temp\tmpiornyqt_.wav,0.214,0.47,0.947,1.11
en_us,C:\Users\prakh\AppData\Local\Temp\tmpwogh1co0.wav,0.043,0.804,0.988,1.29
en_us,C:\Users\prakh\AppData\Local\Temp\tmp_j_l4jqb.wav,0.182,0.727,0.982,1.69
en_us,C:\Users\prakh\AppData\Local\Temp\tmpf5__bjbl.wav,0.31,0.641,0.965,1.77
en_us,C:\Users\prakh\AppData\Local\Temp\tmpscdjz37k.wav,0.208,0.477,0.95,1.55
en_us,C:\Users\prakh\AppData\Local\Temp\tmpkxhvmsr3.wav,0.061,0.897,0.993,1.46
en_us,C:\Users\prakh\AppData\Local\Temp\tmplomb9gbj.wav,0.095,0.725,0.966,1.32
en_us,C:\Users\prakh\AppData\Local\Temp\tmpjxiuqi2d.wav,0.156,0.482,0.953,1.71
en_us,C:\Users\prakh\AppData\Local\Temp\tmpf28k8fc5.wav,0.182,0.673,0.965,1.43
en_us,C:\Users\prakh\AppData\Local\Temp\tmpk3sf8rev.wav,0.2,0.556,0.982,1.52
en_us,C:\Users\prakh\AppData\Local\Temp\tmpixkd2ij5.wav,0.067,0.668,0.955,1.33
en_us,C:\Users\prakh\AppData\Local\Temp\tmpr9q8xqrb.wav,0.222,0.354,0.965,1.26
en_us,C:\Users\prakh\AppData\Local\Temp\tmprn6ojrk5.wav,0.238,0.583,0.97,1.3
en_us,C:\Users\prakh\AppData\Local\Temp\tmpw3un2dm_.wav,0.083,1.0,1.0,1.08
en_us,C:\Users\prakh\AppData\Local\Temp\tmp_0_1z_dp.wav,0.156,0.829,0.978,1.84
en_us,C:\Users\prakh\AppData\Local\Temp\tmpmn8wgvif.wav,0.143,1.0,1.0,1.15
en_us,C:\Users\prakh\AppData\Local\Temp\tmp4vv27585.wav,0.2,0.426,0.933,1.22
en_us,C:\Users\prakh\AppData\Local\Temp\tmpfvqk6dkp.wav,0.083,0.408,0.951,1.23
en_us,C:\Users\prakh\AppData\Local\Temp\tmpmtb5s0bq.wav,0.071,0.677,0.989,1.03
en_us,C:\Users\prakh\AppData\Local\Temp\tmp4czfyje2.wav,0.091,0.71,0.978,1.65
en_us,C:\Users\prakh\AppData\Local\Temp\tmpe3jjf5wf.wav,0.048,0.879,0.996,1.31
en_us,C:\Users\prakh\AppData\Local\Temp\tmpcck7van6.wav,0.214,0.839,0.972,1.1
en_us,C:\Users\prakh\AppData\Local\Temp\tmpyopefvro.wav,0.292,0.918,0.98,1.64
en_us,C:\Users\prakh\AppData\Local\Temp\tmp9x4jdf1n.wav,0.176,0.51,0.962,1.13
en_us,C:\Users\prakh\AppData\Local\Temp\tmppzkgoo_7.wav,0.212,0.429,0.958,2.36
en_us,C:\Users\prakh\AppData\Local\Temp\tmpucumv78x.wav,0.273,0.602,0.959,1.25
en_us,C:\Users\prakh\AppData\Local\Temp\tmp54x2qyuq.wav,0.053,0.727,0.976,1.24
en_us,C:\Users\prakh\AppData\Local\Temp\tmpcmm_184q.wav,0.111,0.934,0.994,1.45
en_us,C:\Users\prakh\AppData\Local\Temp\tmp3shx70e0.wav,0.176,0.783,0.975,1.39
en_us,C:\Users\prakh\AppData\Local\Temp\tmp1j5xk0ar.wav,0.235,0.314,0.918,1.28
en_us,C:\Users\prakh\AppData\Local\Temp\tmp6qy1j_pa.wav,0.278,0.837,0.981,1.22
en_us,C:\Users\prakh\AppData\Local\Temp\tmpymazxliv.wav,0.071,0.63,0.967,1.61
en_us,C:\Users\prakh\AppData\Local\Temp\tmp2g43glh_.wav,0.2,0.514,0.96,1.67
en_us,C:\Users\prakh\AppData\Local\Temp\tmprbw1ej_a.wav,0.32,0.538,0.949,1.5
en_us,C:\Users\prakh\AppData\Local\Temp\tmph0b01hps.wav,0.125,0.554,0.963,1.16
en_us,C:\Users\prakh\AppData\Local\Temp\tmpx3agwbhv.wav,0.05,1.0,1.0,1.21
en_us,C:\Users\prakh\AppData\Local\Temp\tmpk6ni21_x.wav,0.208,0.513,0.957,1.26
en_us,C:\Users\prakh\AppData\Local\Temp\tmp2q22or4v.wav,0.211,0.422,0.941,1.35
en_us,C:\Users\prakh\AppData\Local\Temp\tmpq7azsnnv.wav,0.25,0.521,0.953,1.6
en_us,C:\Users\prakh\AppData\Local\Temp\tmp0jfmwdiv.wav,0.095,0.803,0.988,1.26
en_us,C:\Users\prakh\AppData\Local\Temp\tmpfr3b7_c7.wav,0.062,0.918,0.994,1.8
en_us,C:\Users\prakh\AppData\Local\Temp\tmpvh45au4w.wav,0.091,0.734,0.962,1.23
en_us,C:\Users\prakh\AppData\Local\Temp\tmpd10mkpsk.wav,0.071,0.744,0.984,1.11
en_us,C:\Users\prakh\AppData\Local\Temp\tmpaedab1cn.wav,0.2,0.497,0.942,0.98
en_us,C:\Users\prakh\AppData\Local\Temp\tmp93txxf4c.wav,0.065,0.964,1.0,1.75
en_us,C:\Users\prakh\AppData\Local\Temp\tmp4r9vk_s_.wav,0.154,1.0,1.0,0.93
en_us,C:\Users\prakh\AppData\Local\Temp\tmpdb5j3qbf.wav,0.143,0.91,0.993,1.59
en_us,C:\Users\prakh\AppData\Local\Temp\tmps2v9tcd1.wav,0.143,0.485,0.961,1.14
en_us,C:\Users\prakh\AppData\Local\Temp\tmp9gyy0e8h.wav,0.062,1.0,1.0,1.1
en_us,C:\Users\prakh\AppData\Local\Temp\tmpp5g5duek.wav,0.1,0.485,0.964,0.98
en_us,C:\Users\prakh\AppData\Local\Temp\tmpmvrliwbk.wav,0.095,0.596,0.974,1.35
en_us,C:\Users\prakh\AppData\Local\Temp\tmpx7j12x3y.wav,0.3,0.669,0.983,0.95
en_us,C:\Users\prakh\AppData\Local\Temp\tmptjf01b0k.wav,0.172,0.786,0.968,1.6
en_us,C:\Users\prakh\AppData\Local\Temp\tmprdpa9t4f.wav,0.1,0.749,0.962,1.29
en_us,C:\Users\prakh\AppData\Local\Temp\tmpgg37l2jj.wav,0.211,0.739,0.976,1.85
en_us,C:\Users\prakh\AppData\Local\Temp\tmp1asnqbu0.wav,0.167,0.576,0.97,1.35
en_us,C:\Users\prakh\AppData\Local\Temp\tmp7h5bl6dp.wav,0.125,1.0,1.0,1.35
en_us,C:\Users\prakh\AppData\Local\Temp\tmpef81v65d.wav,0.238,0.664,0.972,1.23
en_us,C:\Users\prakh\AppData\Local\Temp\tmp9dds45z_.wav,0.13,0.582,0.95,1.44
en_us,C:\Users\prakh\AppData\Local\Temp\tmpwgvr3k5v.wav,0.095,0.859,0.985,1.21
en_us,C:\Users\prakh\AppData\Local\Temp\tmpvcaaj_i7.wav,0.222,0.724,0.995,1.21
en_us,C:\Users\prakh\AppData\Local\Temp\tmpcssh431i.wav,0.056,0.841,0.99,1.25
